"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"90",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"91",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"92",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"93",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"94",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"95",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"96",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"97",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"98",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"99",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"100",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"101",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"102",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"103",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"104",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"105",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"106",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"107",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"108",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"109",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"110",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"111",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"112",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"113",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"114",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"115",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"116",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"117",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"118",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"119",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"120",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"121",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"122",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"123",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"124",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"125",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"126",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"127",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"128",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"129",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"130",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"131",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"132",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"133",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"134",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"135",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"136",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"137",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"138",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"139",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"140",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"141",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"142",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"143",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"144",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"145",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"146",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"147",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"148",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"149",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"150",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"151",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"152",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"153",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"154",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"155",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"156",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"157",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"158",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"159",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"160",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"161",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"162",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"163",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"164",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"165",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"166",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"167",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"168",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"169",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"170",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"171",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"172",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"173",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"174",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"175",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"176",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"177",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"178",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"179",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"180",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"181",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"182",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"183",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"184",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"185",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"186",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"187",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"188",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"189",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"190",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"191",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"192",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
"193",0.51,0.39,2,1,4,0,1,0.5,0.05,322,322,130
