"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final"
"1",1,0.39,0.39,30,1,4,0,10,0.5,0.05,100,70,1,21,37,18,24,0.380323019415106,0.460210623370197,1,0.832904150919007,0.235673096912464,0.880258840979892,21,37,18,24,0.380323019415106,0.460210623370197,1,0.832904150919007,0.235673096912464,0.880258840979892
"2",2,0.45,0.39,30,1,4,0,10,0.5,0.05,100,70,1,21,37,18,24,0.380323019415106,0.460210623370197,1,0.832904150919007,0.235673096912464,0.880258840979892,21,37,18,24,0.380323019415106,0.460210623370197,1,0.832904150919007,0.235673096912464,0.880258840979892
"3",3,0.51,0.39,30,1,4,0,10,0.5,0.05,100,70,1,27,31,21,21,0.474789563248181,0.346130682340007,1,0.773324345780271,0.366495689937609,0.694129975564289,27,31,21,21,0.474789563248181,0.346130682340007,1,0.773324345780271,0.366495689937609,0.694129975564289
"4",4,0.57,0.39,30,1,4,0,10,0.5,0.05,100,70,1,43,15,20,22,0.986081472821096,0.0165069909294357,0.727808064249142,0.0228797368179178,0.295071672568776,0.538966185415107,43,15,20,22,0.986081472821096,0.0165069909294357,0.727808064249142,0.0228797368179178,0.295071672568776,0.538966185415107
"5",5,0.63,0.39,30,1,4,0,10,0.5,0.05,100,70,1,35,23,18,24,0.969162116484361,0.064443265965715,0.379853426379346,0.21762262447334,0.837769198093994,0.858987333824528,35,23,18,24,0.969162116484361,0.064443265965715,0.379853426379346,0.21762262447334,0.837769198093994,0.858987333824528
