"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","X.1","X.y","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final"
"41",41,0.54,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,61,1,0,0,0,0,100,100,0.540189655172414,0.540189655172414,0.390095238095238,0.390095238095238,0.464928365089357,0.464928365089357,-0.00643383318704944,-0.00643383318704944,0.085,0.085
"42",42,0.55,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,62,1,0,0,0,0,100,100,0.550293103448276,0.550293103448276,0.390095238095238,0.390095238095238,0.470697802012692,0.470697802012692,-0.00935197840420707,-0.00935197840420707,0.027,0.027
"43",43,0.56,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,63,1,0,0,0,0,100,100,0.560379310344828,0.560379310344828,0.390095238095238,0.390095238095238,0.476456631776312,0.476456631776312,-0.0122544598278794,-0.0122544598278794,0.004,0.004
"44",44,0.57,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,64,1,0,0,0.001,0.001,99.998,100,0.569823049001815,0.569810344827586,0.390100464576074,0.390095238095238,0.481847548243429,0.481840153275401,-0.0149721458876272,-0.0149744801931473,0.003,0.003
"45",45,0.58,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,65,1,0,0,0.001,0.001,99.998,100,0.580116152450091,0.580103448275862,0.390100464576074,0.390095238095238,0.487704561902771,0.487697166934744,-0.0179092075242106,-0.0179115418297307,0.002,0.002
"46",46,0.59,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,66,1,0,0,0.001,0.001,99.998,100,0.590029945553539,0.59001724137931,0.390100464576074,0.390095238095238,0.493362491903847,0.49335509693582,-0.0207485417547715,-0.0207508760602915,0,0
"47",47,0.6,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,67,1,0,0,0.002,0.002,99.992,99.995,0.599764576802508,0.599750615763547,0.390097168597169,0.390111721611722,0.498941509780167,0.498934847303164,-0.0235806905229044,-0.0235706425534798,0,0
"48",48,0.61,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,68,1,0,0,0.002,0.001,99.986,99.992,0.61012789968652,0.610107240082966,0.390084348084348,0.390120054945055,0.504876338256379,0.50487114370567,-0.0265821788270147,-0.0265558481185473,0,0
"49",49,0.62,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,69,1,0,0,0.003,0.002,99.974,99.983,0.620338934169279,0.620313264926241,0.390031440781441,0.390068597168597,0.510708300727638,0.51070765147224,-0.0295600879327185,-0.0295354516702228,0,0
"50",50,0.63,0.39,2,1,4,0,0.75,0.5,0.05,100,70,1000,71,1,0,0,0.003,0.002,99.974,99.983,0.630356175548589,0.630348050165201,0.390031440781441,0.390068597168597,0.516467489552212,0.51647886494257,-0.0324693478858663,-0.0324541342106213,0,0
"51",51,0.39,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,72,1,0.035,0.021,0,0,99.38,99.478,0.389477886162896,0.389482675731895,0.39200670939249,0.391557350339291,0.376187812227826,0.376086019392994,0.0419512933324511,0.0418633699777061,0.976,0.974
"52",52,0.4,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,73,1,0.027,0.016,0,0,99.48,99.559,0.399891041625285,0.399909488830347,0.391867855370926,0.391429928076854,0.382634797420621,0.382543392275456,0.0382374995436144,0.038139787842557,0.981,0.983
"53",53,0.41,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,74,1,0.024,0.015,0,0,99.584,99.651,0.409613579980144,0.409663938705765,0.391573143698166,0.391265972402316,0.388543750614358,0.388509358831142,0.034798082155965,0.0347266514730585,0.975,0.975
"54",54,0.42,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,75,1,0.017,0.012,0,0,99.75,99.795,0.419706001104975,0.419729587978479,0.39104301796804,0.390874477330015,0.394624590197931,0.394604189276844,0.0311836936725082,0.031152247212937,0.974,0.972
"55",55,0.43,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,76,1,0.014,0.01,0,0,99.768,99.805,0.43002565993483,0.430047668914629,0.390976020571569,0.390832966558412,0.400841268257433,0.400823603003391,0.0277207318058768,0.0276925437485934,0.937,0.936
"56",56,0.44,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,77,1,0.014,0.01,0,0,99.784,99.819,0.439409730980116,0.439437095268979,0.391035531646003,0.390815239199531,0.406508313529829,0.406479621622613,0.0246247269036427,0.0245621965230717,0.922,0.922
"57",57,0.45,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,78,1,0.008,0.006,0,0,99.85,99.874,0.449474422675026,0.44949293228974,0.390762449166153,0.39063957782387,0.412479060543694,0.412461943986111,0.0212480572140138,0.0212121897623358,0.844,0.845
"58",58,0.46,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,79,1,0.007,0.003,0,0,99.886,99.906,0.459601984009011,0.459639901354934,0.390578120050681,0.390453825944171,0.418446875052963,0.418444074091818,0.0179466431885188,0.0179019886098754,0.819,0.82
"59",59,0.47,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,80,1,0.006,0.001,0,0,99.894,99.911,0.468890241584769,0.468935802683983,0.390576915375065,0.390414285714286,0.423928740257295,0.423923327273077,0.015009872291398,0.0149503122295235,0.687,0.687
"60",60,0.48,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,82,1,0.005,0.001,0,0,99.914,99.928,0.478702597906608,0.478741259941548,0.390514518002323,0.390371428571429,0.429665724963543,0.429660261958331,0.0119380334082312,0.0118851365742096,0.645,0.645
"61",61,0.49,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,83,1,0.002,0,0,0,99.968,99.973,0.488784543254688,0.488808242220353,0.390228803716609,0.390172619047619,0.435502648572912,0.435502621760713,0.00872260347967893,0.00869837872984363,0.485,0.485
"62",62,0.5,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,84,1,0,0,0,0,100,100,0.498137931034483,0.498137931034483,0.390095238095238,0.390095238095238,0.440896633883775,0.440896633883775,0.00584240436722238,0.00584240436722238,0.423,0.423
"63",63,0.51,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,85,1,0.006,0.002,0,0,99.906,99.924,0.511063793913008,0.511090306401539,0.390486217299647,0.390421142796014,0.448327842694708,0.448326274096328,0.00221900127973809,0.00219235733420452,0.266,0.266
"64",64,0.52,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,86,1,0.006,0.001,0,0,99.906,99.924,0.521066552533698,0.521091932946756,0.390486217299647,0.390421142796014,0.454067927391632,0.4540659336765,-0.000724496673086336,-0.000750965416063627,0.218,0.218
"65",65,0.53,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,87,1,0.004,0,0,0,99.948,99.96,0.530884734758574,0.530920115329801,0.390300135524244,0.39024029864017,0.459645004776166,0.459652522763132,-0.00365124365758723,-0.00367932444076544,0.099,0.099
"66",66,0.54,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,88,1,0.001,0,0,0,99.988,99.991,0.540186896551724,0.54019746258946,0.390110275689223,0.390110275689223,0.464930110893046,0.464936141462191,-0.00642906284915593,-0.00643170729991205,0.085,0.085
"67",67,0.55,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,89,1,0.001,0,0,0,99.996,99.999,0.550293719211823,0.550293103448276,0.390127380952381,0.390110917537747,0.470705826872069,0.470701555918868,-0.00933972907019717,-0.00934580584258523,0.027,0.027
"68",68,0.56,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,90,1,0.001,0,0,0,99.996,99.999,0.560379926108374,0.560379310344828,0.390127380952381,0.390110917537747,0.47646465663569,0.476460385682488,-0.0122422104938695,-0.0122482872662576,0.004,0.004
"69",69,0.57,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,91,1,0,0,0.001,0.001,99.998,100,0.569823049001815,0.569810344827586,0.390100464576074,0.390095238095238,0.481847548243429,0.481840153275401,-0.0149721458876272,-0.0149744801931473,0.003,0.003
"70",70,0.58,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,93,1,0,0,0.001,0.001,99.998,100,0.580116152450091,0.580103448275862,0.390100464576074,0.390095238095238,0.487704561902771,0.487697166934744,-0.0179092075242106,-0.0179115418297307,0.002,0.002
"71",71,0.59,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,94,1,0,0,0.001,0.001,99.998,100,0.590029945553539,0.59001724137931,0.390100464576074,0.390095238095238,0.493362491903847,0.49335509693582,-0.0207485417547715,-0.0207508760602915,0,0
"72",72,0.6,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,95,1,0,0,0.002,0.002,99.992,99.995,0.599764576802508,0.599750615763547,0.390097168597169,0.390111721611722,0.498941509780167,0.498934847303164,-0.0235806905229044,-0.0235706425534798,0,0
"73",73,0.61,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,96,1,0,0,0.002,0.001,99.986,99.992,0.61012789968652,0.610107240082966,0.390084348084348,0.390120054945055,0.504876338256379,0.50487114370567,-0.0265821788270147,-0.0265558481185473,0,0
"74",74,0.62,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,97,1,0,0,0.003,0.002,99.974,99.983,0.620338934169279,0.620313264926241,0.390031440781441,0.390068597168597,0.510708300727638,0.51070765147224,-0.0295600879327185,-0.0295354516702228,0,0
"75",75,0.63,0.39,2,1,4,0,0.5,0.5,0.05,100,70,1000,98,1,0,0,0.003,0.002,99.974,99.983,0.630356175548589,0.630348050165201,0.390031440781441,0.390068597168597,0.516467489552212,0.51647886494257,-0.0324693478858663,-0.0324541342106213,0,0
"76",76,0.39,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,99,1,0.119,0.086,0,0,97.324,97.666,0.388223814917016,0.388405528905544,0.395543332489779,0.394673893840176,0.376226953687395,0.376131122130918,0.0432125366350373,0.0430109918845273,0.979,0.978
"77",77,0.4,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,100,1,0.102,0.077,0,0,97.812,98.1,0.398969919854955,0.399131556895938,0.394985203657242,0.394172451584645,0.382761999230653,0.382678628116026,0.0393569683163725,0.0391476831545313,0.981,0.982
"78",78,0.41,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,101,1,0.086,0.065,0,0,98.162,98.401,0.408800556699373,0.40890315117578,0.394322393291252,0.393634059742873,0.388641647356081,0.388554146968465,0.0357994230059119,0.0356342209546103,0.974,0.976
"79",79,0.42,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,102,1,0.067,0.049,0,0,98.486,98.68,0.41876283686678,0.41885644517219,0.393618345007003,0.392998878662828,0.394587358103485,0.394512719940439,0.0321769165610452,0.0320223469164653,0.973,0.973
"80",80,0.43,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,104,1,0.059,0.041,0,0,98.696,98.869,0.429198268537854,0.429292635100076,0.393166203808795,0.392597362764552,0.400788635220066,0.400727268227006,0.0285819223973018,0.0284367662619066,0.936,0.937
"81",81,0.44,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,105,1,0.048,0.032,0,0,98.984,99.127,0.438742020315232,0.438867826090839,0.392457919066626,0.392173116436333,0.406383795808805,0.406404573254642,0.0251954607339015,0.0251271516474362,0.923,0.924
"82",82,0.45,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,106,1,0.044,0.029,0,0,99.12,99.247,0.448869592512753,0.449002935337669,0.392307866284665,0.392005196188709,0.412411202344689,0.412434526554936,0.0218675742650255,0.0217826065242647,0.846,0.845
"83",83,0.46,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,107,1,0.035,0.022,0,0,99.308,99.41,0.459172013924579,0.459220229969237,0.39189037322725,0.391565658435791,0.41843518762703,0.41839778812188,0.0184762871338937,0.0183975596609386,0.819,0.819
"84",84,0.47,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,108,1,0.031,0.018,0,0,99.396,99.483,0.468468100020234,0.468560441347533,0.39182726275083,0.391424264456575,0.423905117123498,0.423880010614597,0.0155397987672163,0.0154062399285031,0.689,0.69
"85",85,0.48,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,109,1,0.024,0.017,0,0,99.55,99.615,0.478443195758681,0.47846836249272,0.391452781757643,0.391221838628812,0.429680826745673,0.429648526440106,0.0123258349610912,0.0122625574964696,0.648,0.648
"86",86,0.49,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,110,1,0.021,0.013,0,0,99.618,99.674,0.488525421278664,0.488588739137364,0.391359038865513,0.391057378507909,0.435552377254241,0.435522933666199,0.00919108827259308,0.0090877653326034,0.486,0.487
"87",87,0.5,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,111,1,0.018,0.009,0,0,99.704,99.752,0.49790244121108,0.497954866159582,0.39125482371359,0.391018336833467,0.440966698542107,0.440948076094721,0.00634876024247845,0.00626793443517823,0.424,0.424
"88",88,0.51,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,112,1,0.021,0.016,0,0,99.448,99.511,0.510761099870132,0.510735939432617,0.391732113714968,0.391345752003657,0.448394568422019,0.448288942201799,0.00272057414675081,0.00261711087448266,0.27,0.268
"89",89,0.52,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,113,1,0.018,0.012,0,0,99.492,99.546,0.52079015003472,0.520823259473707,0.391659127952327,0.3912831493764,0.45413223262053,0.454064382943129,-0.000241861124690744,-0.000363288539339016,0.22,0.22
"90",90,0.53,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,115,1,0.016,0.011,0,0,99.546,99.594,0.530529970107584,0.530584197655283,0.391431189034825,0.39113433985259,0.459658194985289,0.459619731997472,-0.00316175520771369,-0.00326266588101185,0.107,0.105
"91",91,0.54,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,116,1,0.015,0.009,0,0,99.578,99.623,0.539843462953203,0.5398763720985,0.39132801443165,0.391063650197418,0.46496755181906,0.464924177437424,-0.00590861998105416,-0.00599363533457122,0.093,0.092
"92",92,0.55,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,117,1,0.013,0.008,0,0,99.646,99.685,0.550040918844514,0.550038881682401,0.391170544307585,0.390915939833113,0.470759314155601,0.470702606433606,-0.0088955659553526,-0.00896998715843443,0.034,0.033
"93",93,0.56,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,118,1,0.012,0.006,0,0,99.676,99.712,0.560189362915162,0.560202073342385,0.391084337411034,0.390849273166446,0.476534105640362,0.476491416543881,-0.0118407380625425,-0.0119141701244388,0.011,0.007
"94",94,0.57,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,119,1,0.012,0.005,0.001,0.001,99.68,99.718,0.569629174337261,0.569623759300635,0.391122116537853,0.390858519254639,0.481928350231554,0.481869714517672,-0.0145365409449873,-0.0146215546072633,0.007,0.004
"95",95,0.58,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,120,1,0.011,0.004,0.001,0.001,99.716,99.751,0.57993466010918,0.579942573997127,0.390990261037032,0.390736693857814,0.487767054135164,0.487719090580763,-0.0175249237366669,-0.0176105318749936,0.005,0.003
"96",96,0.59,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,121,1,0.009,0.003,0.001,0.001,99.77,99.799,0.58983988258505,0.589875601050474,0.390831476143764,0.390606931953052,0.493388287321191,0.49336263848094,-0.0204195099567101,-0.0205035627111261,0.001,0
"97",97,0.6,0.39,2,1,4,0,0.25,0.5,0.05,100,70,1000,122,1,0.007,0.003,0.002,0.002,99.85,99.874,0.599582694496907,0.59959788988567,0.390590651479944,0.390411419044949,0.498927172115007,0.498895840839485,-0.0233389846486682,-0.0234010883871668,0,0
