"","X1","idx"
"y1.IP.50",20,35
"y0.IP.50",13,35
"y1.PC.50",10,35
"y0.PC.50",9,35
"eff.prob.50",0.956824260820584,35
"fut.prob.50",0.494759977586214,35
"eff.mix.prob.50",0.124003837827053,35
"box.skpt.50",0.469889705956595,35
"box.enth.50",0.769936151271444,35
"box.ni.50",NA,35
"y1.IP.52",20,35
"y0.IP.52",13,35
"y1.PC.52",10,35
"y0.PC.52",9,35
"eff.prob.52",0.956824260820584,35
"fut.prob.52",0.494759977586214,35
"eff.mix.prob.52",0.124003837827053,35
"box.skpt.52",0.469889705956595,35
"box.enth.52",0.769936151271444,35
"box.ni.52",NA,35
"y1.IP.54",21,35
"y0.IP.54",13,35
"y1.PC.54",10,35
"y0.PC.54",10,35
"eff.prob.54",0.9712330226325,35
"fut.prob.54",0.454730118267318,35
"eff.mix.prob.54",0.102997969001181,35
"box.skpt.54",0.396181250587763,35
"box.enth.54",0.810166003656015,35
"box.ni.54",NA,35
"y1.IP.56",21,35
"y0.IP.56",14,35
"y1.PC.56",10,35
"y0.PC.56",11,35
"eff.prob.56",0.975331630955102,35
"fut.prob.56",0.457375334614647,35
"eff.mix.prob.56",0.0805373370744719,35
"box.skpt.56",0.430205846606967,35
"box.enth.56",0.861791739870954,35
"box.ni.56",NA,35
"y1.IP.58",NA,35
"y0.IP.58",NA,35
"y1.PC.58",NA,35
"y0.PC.58",NA,35
"eff.prob.58",NA,35
"fut.prob.58",NA,35
"eff.mix.prob.58",NA,35
"box.skpt.58",NA,35
"box.enth.58",NA,35
"box.ni.58",NA,35
"y1.IP.60",NA,35
"y0.IP.60",NA,35
"y1.PC.60",NA,35
"y0.PC.60",NA,35
"eff.prob.60",NA,35
"fut.prob.60",NA,35
"eff.mix.prob.60",NA,35
"box.skpt.60",NA,35
"box.enth.60",NA,35
"box.ni.60",NA,35
"y1.IP.62",NA,35
"y0.IP.62",NA,35
"y1.PC.62",NA,35
"y0.PC.62",NA,35
"eff.prob.62",NA,35
"fut.prob.62",NA,35
"eff.mix.prob.62",NA,35
"box.skpt.62",NA,35
"box.enth.62",NA,35
"box.ni.62",NA,35
"y1.IP.64",NA,35
"y0.IP.64",NA,35
"y1.PC.64",NA,35
"y0.PC.64",NA,35
"eff.prob.64",NA,35
"fut.prob.64",NA,35
"eff.mix.prob.64",NA,35
"box.skpt.64",NA,35
"box.enth.64",NA,35
"box.ni.64",NA,35
"y1.IP.66",NA,35
"y0.IP.66",NA,35
"y1.PC.66",NA,35
"y0.PC.66",NA,35
"eff.prob.66",NA,35
"fut.prob.66",NA,35
"eff.mix.prob.66",NA,35
"box.skpt.66",NA,35
"box.enth.66",NA,35
"box.ni.66",NA,35
"y1.IP.68",NA,35
