"","X1","idx"
"y1.IP.initial",21,28
"y0.IP.initial",14,28
"y1.PC.initial",10,28
"y0.PC.initial",11,28
"eff.prob.initial",0.976676752648045,28
"fut.prob.initial",0.457375334614647,28
"eff.mix.prob.initial",0.0730778813104817,28
"box.skpt.initial",0.430205846606967,28
"box.enth.initial",0.861791739870954,28
"box.ni.initial",NA,28
"y1.IP.final",22,28
"y0.IP.final",18,28
"y1.PC.final",12,28
"y0.PC.final",18,28
"eff.prob.final",0.989711421481579,28
"fut.prob.final",0.447364602543066,28
"eff.mix.prob.final",0.0114077305495195,28
"box.skpt.final",0.432999271468144,28
"box.enth.final",0.966083743726164,28
"box.ni.final",NA,28
